faculty_id,first_name,last_name,email,gender,password,
100200,William,Long,long.w@bcit.edu,Male,Long1,
100201,Gerald,Miller,miller.g@bcit.edu,Male,Miller1,
100202,Anne,Richardson,richardson.a@bcit.edu,Female,Richardson1,
100203,Michael,Ross,ross.m@bcit.edu,Male,Ross1,
100204,Annie,Wheeler,wheeler.a@bcit.edu,Female,Wheeler1,
100205,Wanda,Richardson,richardson.w@bcit.edu,Female,Richardson1,
100206,Alan,Crawford,crawford.a@bcit.edu,Male,Crawford1,
100207,Helen,Foster,foster.h@bcit.edu,Female,Foster1,
100208,Judith,Crawford,crawford.j@bcit.edu,Female,Crawford1,
100209,Clarence,Garza,garza.c@bcit.edu,Male,Garza1,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
