id,first_name,last_name,email,gender,date of birth,street address,city,state,password ,GPA
90017341235,Jesse,Vasquez,vasquezj@bcit.edu,Male,7/16/1975,2570 Merry Road,Panama City,Florida,Vasquez1,
90017341236,Russell,Carr,carrr@bcit.edu,Male,11/12/1980,2 Harbort Park,El Paso,Texas,Carr1,
90017341237,Joshua,Bradley,bradleyj@bcit.edu,Male,3/12/1978,032 Cambridge Avenue,Harrisburg,Pennsylvania,Bradley1,
90017341238,Maria,Wells,wellsm@bcit.edu,Female,6/21/1992,9033 Corben Junction,San Diego,California,Wells1,
90017341239,Amanda,Price,pricea@bcit.edu,Female,3/19/1980,6 Northview Hill,Denver,Colorado,Price1,
90017341240,Roy,James,jamesr@bcit.edu,Male,11/21/1997,5 Gulseth Plaza,Bronx,New York,James1,
90017341241,Clarence,Fernandez,fernandezc@bcit.edu,Male,7/21/1988,0 Comanche Pass,Fresno,California,Fernandez1,
90017341242,Matthew,Perry,perrym@bcit.edu,Male,6/12/1988,62895 Blue Bill Park Plaza,New Haven,Connecticut,Perry1,
90017341243,Angela,Carr,carra@bcit.edu,Female,12/20/1975,5 Sutherland Place,Young America,Minnesota,Carr2,
90017341244,Roy,Coleman,colemanr@bcit.edu,Male,5/18/1997,3648 Corry Point,Aurora,Illinois,Coleman1,
90017341245,Carolyn,Fisher,fisherc@bcit.edu,Female,4/19/1975,546 Amoth Hill,Lafayette,Louisiana,Fisher1,
90017341246,Debra,Roberts,robertsd@bcit.edu,Female,7/20/1996,865 Marcy Crossing,Plano,Texas,Roberts1,
90017341247,Christine,Washington,washingtonc@bcit.edu,Female,1/27/1991,93 Sycamore Alley,Houston,Texas,Washington1,
90017341248,Patricia,Lynch,lynchp@bcit.edu,Female,2/29/1976,14 Meadow Valley Hill,Huntington,West Virginia,Lynch1,
90017341249,Earl,Martin,martin.e@bcit.edu,Male,7/14/1998,5 Buell Alley,Fort Myers,Florida,Martin1,
90017341250,Joyce,Kelly,kelly.j@bcit.edu,Female,1/29/1989,6 Eagle Crest Park,Colorado Springs,Colorado,Kelly1,
90017341251,Craig,West,west.c@bcit.edu,Male,1/5/1982,427 Sunfield Lane,Laredo,Texas,West1,
90017341252,Lawrence,Rice,rice.l@bcit.edu,Male,3/27/1987,13058 Talmadge Way,Cincinnati,Ohio,Rice1,
90017341253,Linda,Almirez ,almirez .l@bcit.edu,Female,10/21/1998,6 Nobel Plaza,Albuquerque,New Mexico,Almirez1,
90017341254,Cynthia,Brown,brown.c@bcit.edu,Female,5/19/1978,52183 Green Lane,Cincinnati,Ohio,Brown1,
90017341255,Billy,Kennedy,kennedy.b@bcit.edu,Male,10/22/1977,34 Lawn Lane,Troy,Michigan,Kennedy1,
90017341256,Theresa,Dixon,dixon.t@bcit.edu,Female,4/29/1987,291 Declaration Park,Nashville,Tennessee,Dixon1,
90017341257,Heather,Martinez,martinez.h@bcit.edu,Female,1/22/1996,28106 Donald Pass,Houston,Texas,Martinez1,
90017341258,Carol,Thompson,thompson.c@bcit.edu,Female,4/2/1991,39295 Little Fleur Point,Jamaica,New York,Thompson1,
90017341259,Kenneth,Hughes,hughes.k@bcit.edu,Male,5/18/1992,92 2nd Hill,Columbus,Ohio,Hughes1,
