id,first_name,last_name,email,Date of birth,Classes Enrolled,Credits Enrolled
23-8639879,Marie,Kennedy,mkennedy0@alibaba.com,2/9/1984,6,14
29-5932946,Barbara,White,bwhite1@ameblo.jp,6/10/1984,4,12
91-5329609,Timothy,Young,tyoung2@pagesperso-orange.fr,8/15/1957,8,14
32-6964617,Christine,Allen,callen3@psu.edu,11/13/1951,2,6
39-0905911,Bruce,Larson,blarson4@ezinearticles.com,7/14/1985,3,11
25-6791370,Margaret,Gardner,mgardner5@drupal.org,10/12/1956,3,7
84-9831908,Annie,Ross,aross6@abc.net.au,11/9/1961,3,9
73-8726667,Ashley,Hall,ahall7@earthlink.net,3/10/1960,1,2
74-9764311,Gary,Gomez,ggomez8@delicious.com,12/29/1982,1,4
79-4734648,Ann,Larson,alarson9@surveymonkey.com,6/19/2000,1,3
93-1725131,Ruby,Spencer,rspencera@washingtonpost.com,1/11/1963,5,16
90-4745535,Jeffrey,Cunningham,jcunninghamb@list-manage.com,1/1/1984,4,10
34-2917763,Catherine,Bell,cbellc@opera.com,3/11/1996,4,16
58-6466899,Cheryl,Cruz,ccruzd@cbslocal.com,6/27/1999,4,12
46-2251224,Wanda,Crawford,wcrawforde@psu.edu,2/4/1985,7,13
24-5375954,Alice,King,akingf@istockphoto.com,5/12/1999,3,13
27-1119710,Bobby,Reynolds,breynoldsg@jigsy.com,5/17/1965,4,15
78-0604395,Ashley,Rodriguez,arodriguezh@weibo.com,9/28/1967,4,16
75-7743343,Robert,Stanley,rstanleyi@ed.gov,1/29/1987,8,25
90-0111499,Henry,Welch,hwelchj@webs.com,5/30/1959,2,6
45-8721388,Patrick,Lee,pleek@cloudflare.com,12/11/1965,5,15
88-9823717,Eric,Black,eblackl@senate.gov,12/13/1988,3,9
39-6614108,Alice,Grant,agrantm@pcworld.com,3/26/1954,1,4
33-1034262,Nicole,Gomez,ngomezn@webnode.com,6/16/1959,2,7
01-6359846,Sandra,Berry,sberryo@zdnet.com,5/8/1965,1,2
